Y,X,id,obstimeJST,type
35.981,138.817,nowc_20240807070000_20240807070000_liden_239,2024/08/07 15:59:33.800,1
40.104,140.791,nowc_20240807070000_20240807070000_liden_240,2024/08/07 15:59:34.250,0
38.326,140.136,nowc_20240807070000_20240807070000_liden_241,2024/08/07 15:59:34.340,1
34.201,132.033,nowc_20240807070000_20240807070000_liden_242,2024/08/07 15:59:35.080,1
36.49,139.609,nowc_20240807070000_20240807070000_liden_243,2024/08/07 15:59:35.240,0
36.533,139.517,nowc_20240807070000_20240807070000_liden_244,2024/08/07 15:59:45.640,0
35.694,138.642,nowc_20240807070000_20240807070000_liden_245,2024/08/07 15:59:45.760,0
35.78,138.686,nowc_20240807070000_20240807070000_liden_246,2024/08/07 15:59:45.770,1
38.298,140.435,nowc_20240807070000_20240807070000_liden_247,2024/08/07 15:59:47.640,0
38.32,140.326,nowc_20240807070000_20240807070000_liden_248,2024/08/07 15:59:47.640,0
38.27,140.423,nowc_20240807070000_20240807070000_liden_249,2024/08/07 15:59:47.670,0
38.248,140.153,nowc_20240807070000_20240807070000_liden_250,2024/08/07 15:59:50.960,1
36.497,139.641,nowc_20240807070000_20240807070000_liden_251,2024/08/07 15:59:51.810,0
35.799,138.708,nowc_20240807070000_20240807070000_liden_252,2024/08/07 15:59:52.200,0
35.733,138.65,nowc_20240807070000_20240807070000_liden_253,2024/08/07 15:59:52.370,0
36.692,139.754,nowc_20240807070000_20240807070000_liden_254,2024/08/07 15:59:52.610,1
36.484,139.596,nowc_20240807070000_20240807070000_liden_255,2024/08/07 15:59:53.530,0
40.186,140.848,nowc_20240807070000_20240807070000_liden_256,2024/08/07 15:59:55.900,0
36.495,139.618,nowc_20240807070000_20240807070000_liden_257,2024/08/07 15:59:59.520,1
36.579,139.383,nowc_20240807070500_20240807070500_liden_0,2024/08/07 16:00:02.950,0
39.345,141.459,nowc_20240807070500_20240807070500_liden_1,2024/08/07 16:00:05.640,0
35.813,138.75,nowc_20240807070500_20240807070500_liden_2,2024/08/07 16:00:05.810,0
36.475,139.621,nowc_20240807070500_20240807070500_liden_3,2024/08/07 16:00:09.030,0
35.043,138.376,nowc_20240807070500_20240807070500_liden_4,2024/08/07 16:00:09.320,1
36.633,139.728,nowc_20240807070500_20240807070500_liden_5,2024/08/07 16:00:11.150,1
36.625,139.54,nowc_20240807070500_20240807070500_liden_6,2024/08/07 16:00:11.680,0
36.507,139.629,nowc_20240807070500_20240807070500_liden_7,2024/08/07 16:00:11.950,0
35.071,138.449,nowc_20240807070500_20240807070500_liden_8,2024/08/07 16:00:13.250,0
40.24,140.781,nowc_20240807070500_20240807070500_liden_9,2024/08/07 16:00:13.300,0
35.758,138.671,nowc_20240807070500_20240807070500_liden_10,2024/08/07 16:00:13.670,0
35.679,138.631,nowc_20240807070500_20240807070500_liden_11,2024/08/07 16:00:13.800,1
40.339,140.753,nowc_20240807070500_20240807070500_liden_12,2024/08/07 16:00:14.570,0
35.737,138.655,nowc_20240807070500_20240807070500_liden_13,2024/08/07 16:00:15.630,0
36.489,139.648,nowc_20240807070500_20240807070500_liden_14,2024/08/07 16:00:16.250,0
36.492,139.619,nowc_20240807070500_20240807070500_liden_15,2024/08/07 16:00:18.800,0
36.448,139.619,nowc_20240807070500_20240807070500_liden_16,2024/08/07 16:00:20.420,0
36.798,139.56,nowc_20240807070500_20240807070500_liden_17,2024/08/07 16:00:22.570,0
36.868,139.38,nowc_20240807070500_20240807070500_liden_18,2024/08/07 16:00:22.600,0
38.246,140.143,nowc_20240807070500_20240807070500_liden_19,2024/08/07 16:00:24.320,1
35.639,138.68,nowc_20240807070500_20240807070500_liden_20,2024/08/07 16:00:28.930,1
35.719,138.64,nowc_20240807070500_20240807070500_liden_21,2024/08/07 16:00:29.320,0
